[eval]        default frozen:  90.0% +/- 3.3 (13.2s)
[eval]        default  adapt:  90.0% +/- 10.0 (17.6s)
[eval]       low_mass frozen:  96.7% +/- 3.3 (9.2s)
[eval]       low_mass  adapt: 100.0% +/- 0.0 (6.7s)
[eval]   high_damping frozen:  53.3% +/- 6.7 (25.6s)
[eval]   high_damping  adapt:  63.3% +/- 3.3 (30.1s)
[eval]           blur frozen:  80.0% +/- 6.7 (10.3s)
[eval]           blur  adapt:  83.3% +/- 3.3 (13.3s)
[eval]            snp frozen:  90.0% +/- 10.0 (9.5s)
[eval]            snp  adapt:  93.3% +/- 6.7 (12.4s)
[eval]           dark frozen:  70.0% +/- 3.3 (14.0s)
[eval]           dark  adapt:  83.3% +/- 3.3 (18.8s)
[eval]      red_agent frozen:  20.0% +/- 0.0 (25.4s)
[eval]      red_agent  adapt:  33.3% +/- 6.7 (33.5s)
wrote runs/suite_cem.json
[eval]        default frozen:  70.0% +/- 3.3 (212.5s)
[eval]        default  adapt:  66.7% +/- 0.0 (177.2s)
[eval]   high_damping frozen:  13.3% +/- 0.0 (5276.9s)
[eval]   high_damping  adapt:  26.7% +/- 6.7 (366.7s)
[eval]      red_agent frozen:  13.3% +/- 0.0 (354.0s)
[eval]      red_agent  adapt:  23.3% +/- 3.3 (320.0s)
wrote runs/suite_gd.json
[train] step=0 epoch=0 loss=1.2461 pred=0.3578 embed_std=0.006
[train] step=100 epoch=0 loss=0.6487 pred=0.1253 embed_std=0.592
[train] step=200 epoch=0 loss=0.4959 pred=0.0058 embed_std=0.683
[train] step=300 epoch=0 loss=0.4860 pred=0.0024 embed_std=0.677
[train] step=400 epoch=0 loss=0.4911 pred=0.0015 embed_std=0.673
[train] step=500 epoch=0 loss=0.4838 pred=0.0014 embed_std=0.659
[train] step=600 epoch=0 loss=0.5062 pred=0.0013 embed_std=0.680
[train] step=700 epoch=0 loss=0.4842 pred=0.0008 embed_std=0.687
[train] step=800 epoch=0 loss=0.4940 pred=0.0007 embed_std=0.673
[train] step=900 epoch=0 loss=0.4939 pred=0.0007 embed_std=0.690
[train] step=1000 epoch=0 loss=0.4923 pred=0.0006 embed_std=0.679
[train] step=1100 epoch=1 loss=0.4829 pred=0.0008 embed_std=0.688
[train] step=1200 epoch=1 loss=0.5019 pred=0.0006 embed_std=0.672
[train] step=1300 epoch=1 loss=0.4770 pred=0.0006 embed_std=0.692
[train] step=1400 epoch=1 loss=0.4845 pred=0.0005 embed_std=0.689
[train] step=1500 epoch=1 loss=0.5089 pred=0.0004 embed_std=0.656
[train] step=1600 epoch=1 loss=0.5002 pred=0.0007 embed_std=0.672
[train] step=1700 epoch=1 loss=0.4827 pred=0.0006 embed_std=0.688
[train] step=1800 epoch=1 loss=0.4895 pred=0.0005 embed_std=0.679
